Time,UUID,LocalName,RSSI,MedianRSSI
2014-09-18T16:03:10+02:00,75553192bc57,0,-81,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-79,-80
2014-09-18T16:03:11+02:00,75553192bc57,0,-81,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-82,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-81,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-84,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-86,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-86,-82
2014-09-18T16:03:11+02:00,75553192bc57,0,-80,-82
2014-09-18T16:03:11+02:00,75553192bc57,0,-80,-82
2014-09-18T16:03:11+02:00,75553192bc57,0,-81,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-80,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-81,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-82,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-87,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-90,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-85,-82
2014-09-18T16:03:11+02:00,75553192bc57,0,-84,-84
2014-09-18T16:03:11+02:00,75553192bc57,0,-85,-85
2014-09-18T16:03:11+02:00,75553192bc57,0,-81,-85
2014-09-18T16:03:11+02:00,75553192bc57,0,-78,-85
2014-09-18T16:03:11+02:00,75553192bc57,0,-81,-84
2014-09-18T16:03:11+02:00,75553192bc57,0,-81,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-80,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-75,-81
2014-09-18T16:03:11+02:00,75553192bc57,0,-75,-80
2014-09-18T16:03:12+02:00,75553192bc57,0,-75,-78
2014-09-18T16:03:12+02:00,75553192bc57,0,-75,-75
2014-09-18T16:03:12+02:00,75553192bc57,0,-75,-75
2014-09-18T16:03:12+02:00,75553192bc57,0,-78,-75
2014-09-18T16:03:12+02:00,75553192bc57,0,-79,-75
2014-09-18T16:03:12+02:00,75553192bc57,0,-79,-75
2014-09-18T16:03:12+02:00,75553192bc57,0,-79,-78
2014-09-18T16:03:12+02:00,75553192bc57,0,-78,-78
2014-09-18T16:03:12+02:00,75553192bc57,0,-77,-78
