Time,UUID,LocalName,RSSI,MedianRSSI
2014-08-28T10:40:32+02:00,5835685c20b3,undefined,-79,-79
2014-08-28T10:40:32+02:00,5835685c20b3,undefined,-67,-67
2014-08-28T10:40:32+02:00,5835685c20b3,undefined,-67,-67
2014-08-28T10:40:32+02:00,5835685c20b3,undefined,-67,-67
2014-08-28T10:40:32+02:00,5835685c20b3,undefined,-65,-67
2014-08-28T10:40:33+02:00,5835685c20b3,undefined,-65,-67
2014-08-28T10:40:33+02:00,5835685c20b3,undefined,-65,-67
2014-08-28T10:40:33+02:00,5835685c20b3,undefined,-68,-67
2014-08-28T10:40:33+02:00,5835685c20b3,undefined,-65,-65
2014-08-28T10:40:33+02:00,5835685c20b3,undefined,-66,-65
2014-08-28T10:40:34+02:00,5835685c20b3,undefined,-63,-65
2014-08-28T10:40:34+02:00,5835685c20b3,undefined,-63,-65
2014-08-28T10:40:34+02:00,5835685c20b3,undefined,-74,-65
2014-08-28T10:40:34+02:00,5835685c20b3,undefined,-70,-66
2014-08-28T10:40:34+02:00,5835685c20b3,undefined,-65,-65
2014-08-28T10:40:35+02:00,5835685c20b3,undefined,-62,-65
2014-08-28T10:40:35+02:00,5835685c20b3,undefined,-71,-65
2014-08-28T10:40:35+02:00,5835685c20b3,undefined,-79,-70
2014-08-28T10:40:35+02:00,5835685c20b3,undefined,-79,-71
2014-08-28T10:40:35+02:00,5835685c20b3,undefined,-64,-70
2014-08-28T10:40:36+02:00,5835685c20b3,undefined,-74,-71
2014-08-28T10:40:36+02:00,5835685c20b3,undefined,-76,-74
2014-08-28T10:40:36+02:00,5835685c20b3,undefined,-75,-75
2014-08-28T10:40:36+02:00,5835685c20b3,undefined,-77,-76
2014-08-28T10:40:36+02:00,5835685c20b3,undefined,-75,-75
2014-08-28T10:40:37+02:00,5835685c20b3,undefined,-62,-75
2014-08-28T10:40:37+02:00,5835685c20b3,undefined,-62,-75
2014-08-28T10:40:37+02:00,5835685c20b3,undefined,-62,-75
2014-08-28T10:40:37+02:00,5835685c20b3,undefined,-81,-75
2014-08-28T10:40:37+02:00,5835685c20b3,undefined,-77,-75
2014-08-28T10:40:38+02:00,5835685c20b3,undefined,-76,-75
2014-08-28T10:40:38+02:00,5835685c20b3,undefined,-80,-76
2014-08-28T10:40:38+02:00,5835685c20b3,undefined,-74,-76
2014-08-28T10:40:38+02:00,5835685c20b3,undefined,-74,-76
2014-08-28T10:40:38+02:00,5835685c20b3,undefined,-66,-76
2014-08-28T10:40:39+02:00,5835685c20b3,undefined,-66,-74
2014-08-28T10:40:39+02:00,5835685c20b3,undefined,-75,-74
2014-08-28T10:40:39+02:00,5835685c20b3,undefined,-75,-74
2014-08-28T10:40:39+02:00,5835685c20b3,undefined,-70,-74
2014-08-28T10:40:39+02:00,5835685c20b3,undefined,-67,-70
