value,Number
-87,1
-86,1
-83,1
-82,3
-81,6
-80,10
-79,6
-78,13
-77,13
-76,18
-75,104
-74,567
-73,568
-72,1182
-71,1585
-70,2919
-69,1648
-68,332
-67,42
-66,5
-64,7
