value,Number
-90,0.00016675004168751042
-89,0.0005002501250625312
-87,0.0013340003335000834
-86,0.0018342504585626147
-85,0.0030015007503751876
-84,0.005502751375687844
-83,0.006169751542437886
-82,0.009171252292813074
-81,0.010672002668000667
-80,0.012839753209938302
-79,0.010171752542938136
-78,0.01984325496081374
-77,0.02751375687843922
-76,0.026513256628314157
-75,0.0368517592129398
-74,0.04252126063031516
-73,0.041187260296815076
-72,0.06503251625812906
-71,0.06770051692512923
-70,0.07670501917625479
-69,0.0928797732199433
-68,0.08554277138569284
-67,0.04268801067200267
-66,0.03885275971318993
-65,0.049358012339503085
-64,0.03868600967150242
-63,0.029181257295314324
-62,0.03801900950475238
-61,0.029514757378689346
-60,0.02384525596131399
-59,0.025179256294814073
-58,0.0021677505419376354
-57,0.017675504418876106
-56,0.017675504418876106
-55,0.003501750875437719
