Time,UUID,LocalName,RSSI,MedianRSSI
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-46,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-55,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-55,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-53,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-47,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-47,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-47,-53
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-48,-48
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-49,-48
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-53,-48
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-48
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-49
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-53
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-54,-54
2014-09-19T08:44:25+02:00,7fe941b39fa9,0,-56,-54
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-58,-54
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-58,-54
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-58,-56
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-58,-58
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-58,-58
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-55,-58
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-48,-58
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-48,-58
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-48,-55
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-48,-48
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-48,-48
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-48,-48
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-48,-48
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-48,-48
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-48,-48
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-52,-48
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-52,-48
2014-09-19T08:44:26+02:00,7fe941b39fa9,0,-52,-48
