Time,UUID,LocalName,RSSI,MedianRSSI
2014-05-27T16:21:39+02:00,53eed24f9fa6,Find Me,-92,-92
2014-05-27T16:21:40+02:00,53eed24f9fa6,Find Me,-85,-85
2014-05-27T16:21:40+02:00,53eed24f9fa6,Find Me,-78,-78
2014-05-27T16:21:40+02:00,53eed24f9fa6,Find Me,-80,-78
2014-05-27T16:21:40+02:00,53eed24f9fa6,Find Me,-82,-80
2014-05-27T16:21:40+02:00,53eed24f9fa6,Find Me,-83,-82
2014-05-27T16:21:41+02:00,53eed24f9fa6,Find Me,-77,-82
2014-05-27T16:21:41+02:00,53eed24f9fa6,Find Me,-72,-80
2014-05-27T16:21:41+02:00,53eed24f9fa6,Find Me,-72,-78
2014-05-27T16:21:41+02:00,53eed24f9fa6,Find Me,-70,-77
2014-05-27T16:21:41+02:00,53eed24f9fa6,Find Me,-69,-72
2014-05-27T16:21:42+02:00,53eed24f9fa6,Find Me,-71,-72
2014-05-27T16:21:42+02:00,53eed24f9fa6,Find Me,-69,-71
2014-05-27T16:21:42+02:00,53eed24f9fa6,Find Me,-65,-70
2014-05-27T16:21:42+02:00,53eed24f9fa6,Find Me,-71,-70
2014-05-27T16:21:42+02:00,53eed24f9fa6,Find Me,-71,-70
2014-05-27T16:21:43+02:00,53eed24f9fa6,Find Me,-65,-69
2014-05-27T16:21:43+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:43+02:00,53eed24f9fa6,Find Me,-71,-70
2014-05-27T16:21:43+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:43+02:00,53eed24f9fa6,Find Me,-64,-70
2014-05-27T16:21:44+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:44+02:00,53eed24f9fa6,Find Me,-69,-70
2014-05-27T16:21:44+02:00,53eed24f9fa6,Find Me,-69,-70
2014-05-27T16:21:44+02:00,53eed24f9fa6,Find Me,-65,-69
2014-05-27T16:21:44+02:00,53eed24f9fa6,Find Me,-69,-69
2014-05-27T16:21:45+02:00,53eed24f9fa6,Find Me,-69,-69
2014-05-27T16:21:45+02:00,53eed24f9fa6,Find Me,-65,-69
2014-05-27T16:21:45+02:00,53eed24f9fa6,Find Me,-69,-69
2014-05-27T16:21:45+02:00,53eed24f9fa6,Find Me,-70,-69
2014-05-27T16:21:45+02:00,53eed24f9fa6,Find Me,-65,-69
2014-05-27T16:21:46+02:00,53eed24f9fa6,Find Me,-70,-69
2014-05-27T16:21:46+02:00,53eed24f9fa6,Find Me,-65,-69
2014-05-27T16:21:46+02:00,53eed24f9fa6,Find Me,-70,-69
2014-05-27T16:21:46+02:00,53eed24f9fa6,Find Me,-65,-69
2014-05-27T16:21:47+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:47+02:00,53eed24f9fa6,Find Me,-65,-65
2014-05-27T16:21:47+02:00,53eed24f9fa6,Find Me,-71,-70
2014-05-27T16:21:47+02:00,53eed24f9fa6,Find Me,-65,-65
2014-05-27T16:21:47+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:48+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:48+02:00,53eed24f9fa6,Find Me,-65,-70
2014-05-27T16:21:48+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:48+02:00,53eed24f9fa6,Find Me,-69,-70
2014-05-27T16:21:48+02:00,53eed24f9fa6,Find Me,-65,-69
2014-05-27T16:21:49+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:49+02:00,53eed24f9fa6,Find Me,-71,-70
2014-05-27T16:21:49+02:00,53eed24f9fa6,Find Me,-71,-70
2014-05-27T16:21:49+02:00,53eed24f9fa6,Find Me,-65,-70
2014-05-27T16:21:49+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:50+02:00,53eed24f9fa6,Find Me,-65,-70
2014-05-27T16:21:50+02:00,53eed24f9fa6,Find Me,-71,-70
2014-05-27T16:21:50+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:50+02:00,53eed24f9fa6,Find Me,-71,-70
2014-05-27T16:21:50+02:00,53eed24f9fa6,Find Me,-70,-70
2014-05-27T16:21:51+02:00,53eed24f9fa6,Find Me,-69,-70
2014-05-27T16:21:51+02:00,53eed24f9fa6,Find Me,-71,-70
2014-05-27T16:21:51+02:00,53eed24f9fa6,Find Me,-69,-70
2014-05-27T16:21:51+02:00,53eed24f9fa6,Find Me,-73,-70
2014-05-27T16:21:51+02:00,53eed24f9fa6,Find Me,-65,-70
